timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 20:24:59.635, 14087 MiB, 16303 MiB, 99 %, 84, 158.76 W
2026/05/11 20:25:04.635, 14087 MiB, 16303 MiB, 99 %, 84, 156.25 W
2026/05/11 20:25:09.636, 14087 MiB, 16303 MiB, 99 %, 84, 157.26 W
2026/05/11 20:25:14.636, 14087 MiB, 16303 MiB, 99 %, 84, 159.09 W
2026/05/11 20:25:19.637, 14087 MiB, 16303 MiB, 99 %, 84, 158.65 W
2026/05/11 20:25:24.637, 14087 MiB, 16303 MiB, 99 %, 84, 148.61 W
2026/05/11 20:25:29.638, 14087 MiB, 16303 MiB, 99 %, 85, 151.23 W
2026/05/11 20:25:34.638, 14087 MiB, 16303 MiB, 98 %, 84, 154.58 W
2026/05/11 20:25:39.639, 14087 MiB, 16303 MiB, 93 %, 81, 79.29 W
2026/05/11 20:25:44.639, 14087 MiB, 16303 MiB, 99 %, 83, 168.41 W
2026/05/11 20:25:49.640, 14087 MiB, 16303 MiB, 99 %, 83, 158.72 W
2026/05/11 20:25:54.640, 14087 MiB, 16303 MiB, 99 %, 83, 158.82 W
2026/05/11 20:25:59.641, 14087 MiB, 16303 MiB, 99 %, 83, 158.58 W
2026/05/11 20:26:04.641, 14087 MiB, 16303 MiB, 99 %, 83, 158.91 W
2026/05/11 20:26:09.651, 14087 MiB, 16303 MiB, 99 %, 83, 155.56 W
2026/05/11 20:26:14.651, 14087 MiB, 16303 MiB, 99 %, 84, 158.54 W
2026/05/11 20:26:19.652, 14087 MiB, 16303 MiB, 98 %, 84, 158.62 W
2026/05/11 20:26:24.652, 14087 MiB, 16303 MiB, 99 %, 84, 158.40 W
2026/05/11 20:26:29.653, 14087 MiB, 16303 MiB, 99 %, 84, 158.18 W
2026/05/11 20:26:34.654, 14087 MiB, 16303 MiB, 98 %, 84, 159.13 W
2026/05/11 20:26:39.654, 14087 MiB, 16303 MiB, 99 %, 84, 159.61 W
2026/05/11 20:26:44.655, 14087 MiB, 16303 MiB, 99 %, 84, 158.69 W
2026/05/11 20:26:49.655, 14087 MiB, 16303 MiB, 99 %, 84, 159.06 W
2026/05/11 20:26:54.656, 14087 MiB, 16303 MiB, 99 %, 84, 158.91 W
2026/05/11 20:26:59.656, 14087 MiB, 16303 MiB, 99 %, 84, 159.03 W
2026/05/11 20:27:04.657, 14087 MiB, 16303 MiB, 99 %, 84, 158.97 W
2026/05/11 20:27:09.657, 14087 MiB, 16303 MiB, 99 %, 85, 158.90 W
2026/05/11 20:27:14.658, 14087 MiB, 16303 MiB, 99 %, 85, 158.70 W
2026/05/11 20:27:19.667, 14087 MiB, 16303 MiB, 99 %, 85, 158.67 W
2026/05/11 20:27:24.668, 14087 MiB, 16303 MiB, 93 %, 80, 79.28 W
2026/05/11 20:27:29.668, 14087 MiB, 16303 MiB, 99 %, 82, 156.64 W
2026/05/11 20:27:34.669, 14087 MiB, 16303 MiB, 99 %, 83, 159.09 W
2026/05/11 20:27:39.669, 14087 MiB, 16303 MiB, 99 %, 83, 158.88 W
2026/05/11 20:27:44.670, 14087 MiB, 16303 MiB, 99 %, 83, 158.88 W
2026/05/11 20:27:49.671, 14087 MiB, 16303 MiB, 99 %, 83, 159.14 W
2026/05/11 20:27:54.671, 14087 MiB, 16303 MiB, 99 %, 84, 158.50 W
2026/05/11 20:27:59.672, 14087 MiB, 16303 MiB, 98 %, 84, 158.82 W
2026/05/11 20:28:04.672, 14087 MiB, 16303 MiB, 99 %, 84, 158.53 W
2026/05/11 20:28:09.673, 14087 MiB, 16303 MiB, 99 %, 84, 158.10 W
2026/05/11 20:28:14.673, 14087 MiB, 16303 MiB, 98 %, 84, 159.08 W
2026/05/11 20:28:19.674, 14087 MiB, 16303 MiB, 99 %, 84, 159.60 W
2026/05/11 20:28:24.675, 14087 MiB, 16303 MiB, 99 %, 84, 158.78 W
2026/05/11 20:28:29.675, 14087 MiB, 16303 MiB, 99 %, 84, 159.21 W
2026/05/11 20:28:34.676, 14087 MiB, 16303 MiB, 99 %, 84, 158.82 W
2026/05/11 20:28:39.676, 14087 MiB, 16303 MiB, 99 %, 85, 158.90 W
2026/05/11 20:28:44.677, 14087 MiB, 16303 MiB, 99 %, 85, 158.94 W
2026/05/11 20:28:49.677, 14087 MiB, 16303 MiB, 99 %, 84, 158.88 W
2026/05/11 20:28:54.678, 14087 MiB, 16303 MiB, 99 %, 85, 159.93 W
2026/05/11 20:28:59.678, 14087 MiB, 16303 MiB, 99 %, 85, 158.68 W
2026/05/11 20:29:04.679, 14087 MiB, 16303 MiB, 99 %, 85, 158.37 W
2026/05/11 20:29:09.680, 14087 MiB, 16303 MiB, 93 %, 80, 79.23 W
2026/05/11 20:29:14.680, 14087 MiB, 16303 MiB, 99 %, 83, 165.91 W
2026/05/11 20:29:19.681, 14087 MiB, 16303 MiB, 99 %, 83, 158.93 W
2026/05/11 20:29:24.681, 14087 MiB, 16303 MiB, 99 %, 83, 158.88 W
2026/05/11 20:29:29.682, 14087 MiB, 16303 MiB, 99 %, 83, 159.42 W
2026/05/11 20:29:34.682, 14087 MiB, 16303 MiB, 99 %, 84, 158.32 W
2026/05/11 20:29:39.684, 14087 MiB, 16303 MiB, 97 %, 84, 158.91 W
2026/05/11 20:29:44.685, 14087 MiB, 16303 MiB, 99 %, 84, 159.44 W
2026/05/11 20:29:49.685, 14087 MiB, 16303 MiB, 99 %, 84, 158.47 W
2026/05/11 20:29:54.686, 14087 MiB, 16303 MiB, 99 %, 84, 159.08 W
2026/05/11 20:29:59.686, 14087 MiB, 16303 MiB, 99 %, 84, 159.38 W
2026/05/11 20:30:04.687, 14087 MiB, 16303 MiB, 99 %, 84, 159.49 W
2026/05/11 20:30:09.688, 14087 MiB, 16303 MiB, 99 %, 84, 158.85 W
2026/05/11 20:30:14.688, 14087 MiB, 16303 MiB, 99 %, 84, 158.64 W
2026/05/11 20:30:19.689, 14087 MiB, 16303 MiB, 99 %, 84, 158.79 W
2026/05/11 20:30:24.689, 14087 MiB, 16303 MiB, 99 %, 84, 158.58 W
2026/05/11 20:30:29.690, 14087 MiB, 16303 MiB, 99 %, 85, 158.53 W
2026/05/11 20:30:34.690, 14087 MiB, 16303 MiB, 98 %, 85, 158.92 W
2026/05/11 20:30:39.691, 14087 MiB, 16303 MiB, 99 %, 85, 158.74 W
2026/05/11 20:30:44.692, 14087 MiB, 16303 MiB, 99 %, 85, 158.29 W
2026/05/11 20:30:49.692, 14087 MiB, 16303 MiB, 41 %, 81, 91.42 W
2026/05/11 20:30:54.693, 14087 MiB, 16303 MiB, 93 %, 80, 79.05 W
2026/05/11 20:30:59.693, 14087 MiB, 16303 MiB, 99 %, 83, 157.55 W
