2026/05/12 00:25:39.153, 14087 MiB, 16303 MiB, 99 %, 84, 159.13 W
2026/05/12 00:25:44.154, 14087 MiB, 16303 MiB, 99 %, 85, 158.18 W
2026/05/12 00:25:49.154, 14087 MiB, 16303 MiB, 97 %, 84, 159.19 W
2026/05/12 00:25:54.155, 14087 MiB, 16303 MiB, 93 %, 80, 79.30 W
2026/05/12 00:25:59.155, 14087 MiB, 16303 MiB, 99 %, 82, 165.99 W
2026/05/12 00:26:04.156, 14087 MiB, 16303 MiB, 99 %, 82, 160.49 W
2026/05/12 00:26:09.156, 14087 MiB, 16303 MiB, 99 %, 83, 160.29 W
2026/05/12 00:26:14.157, 14087 MiB, 16303 MiB, 99 %, 83, 158.92 W
2026/05/12 00:26:19.157, 14087 MiB, 16303 MiB, 99 %, 83, 158.23 W
2026/05/12 00:26:24.157, 14087 MiB, 16303 MiB, 99 %, 83, 156.89 W
2026/05/12 00:26:29.158, 14087 MiB, 16303 MiB, 98 %, 83, 159.14 W
2026/05/12 00:26:34.158, 14087 MiB, 16303 MiB, 99 %, 83, 155.94 W
2026/05/12 00:26:39.159, 14087 MiB, 16303 MiB, 99 %, 84, 159.05 W
2026/05/12 00:26:44.159, 14087 MiB, 16303 MiB, 99 %, 84, 158.71 W
2026/05/12 00:26:49.160, 14087 MiB, 16303 MiB, 99 %, 84, 154.45 W
2026/05/12 00:26:54.160, 14087 MiB, 16303 MiB, 99 %, 84, 158.83 W
2026/05/12 00:26:59.161, 14087 MiB, 16303 MiB, 99 %, 84, 157.82 W
2026/05/12 00:27:04.161, 14087 MiB, 16303 MiB, 99 %, 84, 158.83 W
2026/05/12 00:27:09.162, 14087 MiB, 16303 MiB, 99 %, 84, 159.08 W
2026/05/12 00:27:14.163, 14087 MiB, 16303 MiB, 99 %, 84, 158.64 W
2026/05/12 00:27:19.163, 14087 MiB, 16303 MiB, 96 %, 84, 158.22 W
2026/05/12 00:27:24.164, 14087 MiB, 16303 MiB, 99 %, 84, 159.21 W
2026/05/12 00:27:29.164, 14087 MiB, 16303 MiB, 99 %, 84, 161.27 W
2026/05/12 00:27:34.165, 14087 MiB, 16303 MiB, 99 %, 84, 158.73 W
2026/05/12 00:27:39.165, 14087 MiB, 16303 MiB, 99 %, 84, 156.10 W
2026/05/12 00:27:44.166, 14087 MiB, 16303 MiB, 93 %, 80, 78.86 W
2026/05/12 00:27:49.167, 14087 MiB, 16303 MiB, 99 %, 82, 151.38 W
2026/05/12 00:27:54.167, 14087 MiB, 16303 MiB, 99 %, 82, 158.45 W
2026/05/12 00:27:59.168, 14087 MiB, 16303 MiB, 99 %, 83, 158.08 W
2026/05/12 00:28:04.168, 14087 MiB, 16303 MiB, 99 %, 83, 161.39 W
2026/05/12 00:28:09.169, 14087 MiB, 16303 MiB, 99 %, 83, 161.05 W
2026/05/12 00:28:14.169, 14087 MiB, 16303 MiB, 99 %, 84, 162.72 W
2026/05/12 00:28:19.170, 14087 MiB, 16303 MiB, 99 %, 84, 159.34 W
2026/05/12 00:28:24.170, 14087 MiB, 16303 MiB, 99 %, 84, 158.97 W
2026/05/12 00:28:29.171, 14087 MiB, 16303 MiB, 99 %, 84, 160.48 W
2026/05/12 00:28:34.172, 14087 MiB, 16303 MiB, 99 %, 84, 158.56 W
2026/05/12 00:28:39.173, 14087 MiB, 16303 MiB, 99 %, 84, 158.09 W
2026/05/12 00:28:44.174, 14087 MiB, 16303 MiB, 97 %, 84, 159.18 W
2026/05/12 00:28:49.174, 14087 MiB, 16303 MiB, 99 %, 84, 158.80 W
2026/05/12 00:28:54.175, 14087 MiB, 16303 MiB, 99 %, 84, 158.61 W
2026/05/12 00:28:59.176, 14087 MiB, 16303 MiB, 99 %, 84, 159.02 W
2026/05/12 00:29:04.176, 14087 MiB, 16303 MiB, 99 %, 84, 158.90 W
2026/05/12 00:29:09.177, 14087 MiB, 16303 MiB, 99 %, 85, 158.85 W
2026/05/12 00:29:14.177, 14087 MiB, 16303 MiB, 99 %, 84, 158.97 W
2026/05/12 00:29:19.178, 14087 MiB, 16303 MiB, 99 %, 84, 158.92 W
2026/05/12 00:29:24.178, 14087 MiB, 16303 MiB, 99 %, 78, 114.60 W
2026/05/12 00:29:29.179, 14087 MiB, 16303 MiB, 93 %, 80, 78.75 W
2026/05/12 00:29:34.179, 14087 MiB, 16303 MiB, 99 %, 82, 158.30 W
2026/05/12 00:29:39.180, 14087 MiB, 16303 MiB, 99 %, 83, 159.05 W
2026/05/12 00:29:44.180, 14087 MiB, 16303 MiB, 99 %, 83, 158.89 W
2026/05/12 00:29:49.181, 14087 MiB, 16303 MiB, 99 %, 83, 158.68 W
2026/05/12 00:29:54.182, 14087 MiB, 16303 MiB, 99 %, 83, 158.40 W
2026/05/12 00:29:59.182, 14087 MiB, 16303 MiB, 97 %, 83, 159.25 W
2026/05/12 00:30:04.183, 14087 MiB, 16303 MiB, 99 %, 84, 159.55 W
2026/05/12 00:30:09.183, 14087 MiB, 16303 MiB, 99 %, 84, 163.12 W
2026/05/12 00:30:14.184, 14087 MiB, 16303 MiB, 99 %, 84, 159.15 W
2026/05/12 00:30:19.184, 14087 MiB, 16303 MiB, 99 %, 84, 159.00 W
2026/05/12 00:30:24.185, 14087 MiB, 16303 MiB, 99 %, 84, 160.47 W
2026/05/12 00:30:29.185, 14087 MiB, 16303 MiB, 99 %, 84, 158.62 W
2026/05/12 00:30:34.186, 14087 MiB, 16303 MiB, 99 %, 84, 157.91 W
2026/05/12 00:30:39.187, 14087 MiB, 16303 MiB, 97 %, 84, 158.93 W
2026/05/12 00:30:44.187, 14087 MiB, 16303 MiB, 99 %, 84, 159.64 W
2026/05/12 00:30:49.188, 14087 MiB, 16303 MiB, 99 %, 84, 157.90 W
2026/05/12 00:30:54.188, 14087 MiB, 16303 MiB, 99 %, 84, 159.27 W
2026/05/12 00:30:59.189, 14087 MiB, 16303 MiB, 99 %, 85, 158.71 W
2026/05/12 00:31:04.189, 14087 MiB, 16303 MiB, 99 %, 85, 158.87 W
2026/05/12 00:31:09.192, 14087 MiB, 16303 MiB, 0 %, 78, 26.69 W
2026/05/12 00:31:14.192, 14087 MiB, 16303 MiB, 93 %, 80, 78.77 W
2026/05/12 00:31:19.193, 14087 MiB, 16303 MiB, 99 %, 82, 155.18 W
2026/05/12 00:31:24.193, 14087 MiB, 16303 MiB, 99 %, 83, 158.74 W
2026/05/12 00:31:29.194, 14087 MiB, 16303 MiB, 99 %, 83, 158.91 W
2026/05/12 00:31:34.194, 14087 MiB, 16303 MiB, 99 %, 83, 158.85 W
2026/05/12 00:31:39.195, 14087 MiB, 16303 MiB, 99 %, 83, 158.80 W
2026/05/12 00:31:44.195, 14087 MiB, 16303 MiB, 99 %, 83, 158.66 W
2026/05/12 00:31:49.196, 14087 MiB, 16303 MiB, 99 %, 84, 158.39 W
2026/05/12 00:31:54.197, 14087 MiB, 16303 MiB, 97 %, 84, 158.80 W
2026/05/12 00:31:59.197, 14087 MiB, 16303 MiB, 99 %, 84, 158.99 W
2026/05/12 00:32:04.198, 14087 MiB, 16303 MiB, 99 %, 84, 158.44 W
2026/05/12 00:32:09.198, 14087 MiB, 16303 MiB, 99 %, 84, 159.09 W
2026/05/12 00:32:14.199, 14087 MiB, 16303 MiB, 99 %, 84, 160.27 W
2026/05/12 00:32:19.199, 14087 MiB, 16303 MiB, 99 %, 84, 158.74 W
2026/05/12 00:32:24.200, 14087 MiB, 16303 MiB, 99 %, 84, 160.26 W
2026/05/12 00:32:29.201, 14087 MiB, 16303 MiB, 99 %, 85, 158.91 W
2026/05/12 00:32:34.201, 14087 MiB, 16303 MiB, 99 %, 84, 159.73 W
2026/05/12 00:32:39.202, 14087 MiB, 16303 MiB, 99 %, 84, 158.62 W
2026/05/12 00:32:44.202, 14087 MiB, 16303 MiB, 99 %, 85, 158.64 W
2026/05/12 00:32:49.203, 14087 MiB, 16303 MiB, 98 %, 84, 159.17 W
2026/05/12 00:32:54.204, 14087 MiB, 16303 MiB, 0 %, 80, 79.87 W
2026/05/12 00:32:59.204, 14087 MiB, 16303 MiB, 93 %, 79, 78.75 W
2026/05/12 00:33:04.205, 14087 MiB, 16303 MiB, 99 %, 82, 156.39 W
2026/05/12 00:33:09.214, 14087 MiB, 16303 MiB, 99 %, 83, 157.68 W
2026/05/12 00:33:14.215, 14087 MiB, 16303 MiB, 99 %, 83, 155.71 W
2026/05/12 00:33:19.215, 14087 MiB, 16303 MiB, 99 %, 84, 158.08 W
2026/05/12 00:33:24.216, 14087 MiB, 16303 MiB, 98 %, 83, 159.08 W
2026/05/12 00:33:29.216, 14087 MiB, 16303 MiB, 99 %, 84, 159.16 W
2026/05/12 00:33:34.217, 14087 MiB, 16303 MiB, 99 %, 84, 158.67 W
2026/05/12 00:33:39.217, 14087 MiB, 16303 MiB, 99 %, 84, 159.26 W
2026/05/12 00:33:44.218, 14087 MiB, 16303 MiB, 99 %, 84, 160.49 W
2026/05/12 00:33:49.218, 14087 MiB, 16303 MiB, 99 %, 84, 158.81 W
2026/05/12 00:33:54.219, 14087 MiB, 16303 MiB, 99 %, 84, 158.94 W
2026/05/12 00:33:59.219, 14087 MiB, 16303 MiB, 99 %, 84, 158.72 W
2026/05/12 00:34:04.220, 14087 MiB, 16303 MiB, 99 %, 84, 158.83 W
2026/05/12 00:34:09.220, 14087 MiB, 16303 MiB, 99 %, 84, 158.66 W
2026/05/12 00:34:14.221, 14087 MiB, 16303 MiB, 99 %, 85, 158.24 W
2026/05/12 00:34:19.221, 14087 MiB, 16303 MiB, 98 %, 85, 159.05 W
2026/05/12 00:34:24.222, 14087 MiB, 16303 MiB, 99 %, 85, 159.12 W
2026/05/12 00:34:29.222, 14087 MiB, 16303 MiB, 99 %, 85, 158.78 W
2026/05/12 00:34:34.223, 14087 MiB, 16303 MiB, 99 %, 85, 159.28 W
2026/05/12 00:34:39.223, 14087 MiB, 16303 MiB, 0 %, 81, 79.62 W
