2026/05/11 23:07:21.970, 14087 MiB, 16303 MiB, 99 %, 86, 159.07 W
2026/05/11 23:07:26.971, 14087 MiB, 16303 MiB, 99 %, 86, 158.54 W
2026/05/11 23:07:31.972, 14087 MiB, 16303 MiB, 99 %, 86, 158.83 W
2026/05/11 23:07:36.973, 14087 MiB, 16303 MiB, 99 %, 86, 160.43 W
2026/05/11 23:07:41.974, 14087 MiB, 16303 MiB, 93 %, 83, 81.27 W
2026/05/11 23:07:46.975, 14087 MiB, 16303 MiB, 99 %, 84, 171.60 W
2026/05/11 23:07:51.975, 14087 MiB, 16303 MiB, 99 %, 84, 159.08 W
2026/05/11 23:07:56.976, 14087 MiB, 16303 MiB, 98 %, 85, 158.42 W
2026/05/11 23:08:01.976, 14087 MiB, 16303 MiB, 99 %, 85, 158.72 W
2026/05/11 23:08:06.977, 14087 MiB, 16303 MiB, 99 %, 85, 159.07 W
2026/05/11 23:08:11.977, 14087 MiB, 16303 MiB, 99 %, 85, 160.12 W
2026/05/11 23:08:16.978, 14087 MiB, 16303 MiB, 99 %, 85, 158.35 W
2026/05/11 23:08:21.978, 14087 MiB, 16303 MiB, 99 %, 85, 152.39 W
2026/05/11 23:08:26.979, 14087 MiB, 16303 MiB, 96 %, 86, 157.55 W
2026/05/11 23:08:31.979, 14087 MiB, 16303 MiB, 99 %, 86, 158.95 W
2026/05/11 23:08:36.980, 14087 MiB, 16303 MiB, 99 %, 86, 157.45 W
2026/05/11 23:08:41.980, 14087 MiB, 16303 MiB, 99 %, 86, 158.37 W
2026/05/11 23:08:46.981, 14087 MiB, 16303 MiB, 96 %, 86, 158.17 W
2026/05/11 23:08:51.981, 14087 MiB, 16303 MiB, 99 %, 86, 159.19 W
2026/05/11 23:08:56.982, 14087 MiB, 16303 MiB, 99 %, 86, 156.91 W
2026/05/11 23:09:01.982, 14087 MiB, 16303 MiB, 99 %, 86, 158.64 W
2026/05/11 23:09:06.983, 14087 MiB, 16303 MiB, 99 %, 86, 159.01 W
2026/05/11 23:09:11.983, 14087 MiB, 16303 MiB, 98 %, 87, 158.63 W
2026/05/11 23:09:16.984, 14087 MiB, 16303 MiB, 99 %, 86, 159.03 W
2026/05/11 23:09:21.984, 14087 MiB, 16303 MiB, 99 %, 86, 159.19 W
2026/05/11 23:09:26.985, 14087 MiB, 16303 MiB, 0 %, 81, 135.10 W
2026/05/11 23:09:31.985, 14087 MiB, 16303 MiB, 93 %, 82, 80.50 W
2026/05/11 23:09:36.986, 14087 MiB, 16303 MiB, 99 %, 84, 160.06 W
2026/05/11 23:09:41.986, 14087 MiB, 16303 MiB, 97 %, 85, 157.98 W
2026/05/11 23:09:46.987, 14087 MiB, 16303 MiB, 99 %, 85, 159.21 W
2026/05/11 23:09:51.987, 14087 MiB, 16303 MiB, 99 %, 85, 157.81 W
2026/05/11 23:09:56.988, 14087 MiB, 16303 MiB, 99 %, 86, 158.63 W
2026/05/11 23:10:01.988, 14087 MiB, 16303 MiB, 99 %, 86, 158.79 W
2026/05/11 23:10:06.988, 14087 MiB, 16303 MiB, 99 %, 86, 159.64 W
2026/05/11 23:10:11.989, 14087 MiB, 16303 MiB, 99 %, 86, 158.65 W
2026/05/11 23:10:16.989, 14087 MiB, 16303 MiB, 99 %, 86, 159.21 W
2026/05/11 23:10:21.990, 14087 MiB, 16303 MiB, 99 %, 86, 158.85 W
2026/05/11 23:10:26.990, 14087 MiB, 16303 MiB, 99 %, 86, 158.71 W
2026/05/11 23:10:31.991, 14087 MiB, 16303 MiB, 99 %, 86, 159.13 W
2026/05/11 23:10:36.991, 14087 MiB, 16303 MiB, 99 %, 86, 159.17 W
2026/05/11 23:10:41.992, 14087 MiB, 16303 MiB, 99 %, 86, 158.82 W
2026/05/11 23:10:46.992, 14087 MiB, 16303 MiB, 99 %, 86, 158.57 W
2026/05/11 23:10:51.993, 14087 MiB, 16303 MiB, 98 %, 86, 158.49 W
2026/05/11 23:10:56.993, 14087 MiB, 16303 MiB, 99 %, 86, 159.22 W
2026/05/11 23:11:01.994, 14087 MiB, 16303 MiB, 99 %, 86, 159.01 W
2026/05/11 23:11:06.994, 14087 MiB, 16303 MiB, 99 %, 86, 158.93 W
2026/05/11 23:11:11.995, 14087 MiB, 16303 MiB, 93 %, 83, 81.85 W
2026/05/11 23:11:16.995, 14087 MiB, 16303 MiB, 93 %, 82, 80.26 W
2026/05/11 23:11:21.996, 14087 MiB, 16303 MiB, 99 %, 84, 158.13 W
2026/05/11 23:11:26.997, 14087 MiB, 16303 MiB, 99 %, 84, 159.04 W
2026/05/11 23:11:31.997, 14087 MiB, 16303 MiB, 98 %, 85, 158.22 W
2026/05/11 23:11:36.998, 14087 MiB, 16303 MiB, 99 %, 85, 159.18 W
2026/05/11 23:11:41.998, 14087 MiB, 16303 MiB, 99 %, 85, 158.51 W
2026/05/11 23:11:46.998, 14087 MiB, 16303 MiB, 97 %, 86, 158.05 W
2026/05/11 23:11:51.999, 14087 MiB, 16303 MiB, 99 %, 86, 159.06 W
2026/05/11 23:11:57.000, 14087 MiB, 16303 MiB, 99 %, 85, 159.34 W
2026/05/11 23:12:02.000, 14087 MiB, 16303 MiB, 98 %, 86, 158.36 W
2026/05/11 23:12:07.001, 14087 MiB, 16303 MiB, 99 %, 86, 159.22 W
2026/05/11 23:12:12.001, 14087 MiB, 16303 MiB, 99 %, 86, 159.10 W
2026/05/11 23:12:17.002, 14087 MiB, 16303 MiB, 99 %, 86, 158.61 W
2026/05/11 23:12:22.002, 14087 MiB, 16303 MiB, 99 %, 86, 159.05 W
2026/05/11 23:12:27.003, 14087 MiB, 16303 MiB, 99 %, 86, 159.48 W
2026/05/11 23:12:32.003, 14087 MiB, 16303 MiB, 99 %, 86, 158.64 W
2026/05/11 23:12:37.004, 14087 MiB, 16303 MiB, 99 %, 86, 158.98 W
2026/05/11 23:12:42.004, 14087 MiB, 16303 MiB, 99 %, 86, 159.27 W
2026/05/11 23:12:47.004, 14087 MiB, 16303 MiB, 99 %, 86, 158.76 W
2026/05/11 23:12:52.005, 14087 MiB, 16303 MiB, 99 %, 86, 159.03 W
2026/05/11 23:12:57.005, 14087 MiB, 16303 MiB, 93 %, 83, 81.41 W
2026/05/11 23:13:02.006, 14087 MiB, 16303 MiB, 83 %, 81, 79.44 W
2026/05/11 23:13:07.006, 14087 MiB, 16303 MiB, 99 %, 84, 160.16 W
2026/05/11 23:13:12.006, 14087 MiB, 16303 MiB, 99 %, 84, 159.46 W
2026/05/11 23:13:17.007, 14087 MiB, 16303 MiB, 99 %, 85, 158.48 W
2026/05/11 23:13:22.008, 14087 MiB, 16303 MiB, 99 %, 85, 159.72 W
2026/05/11 23:13:27.008, 14087 MiB, 16303 MiB, 99 %, 85, 159.27 W
2026/05/11 23:13:32.008, 14087 MiB, 16303 MiB, 99 %, 85, 158.87 W
2026/05/11 23:13:37.009, 14087 MiB, 16303 MiB, 99 %, 85, 159.07 W
2026/05/11 23:13:42.009, 14087 MiB, 16303 MiB, 99 %, 85, 158.99 W
2026/05/11 23:13:47.010, 14087 MiB, 16303 MiB, 99 %, 85, 158.40 W
2026/05/11 23:13:52.010, 14087 MiB, 16303 MiB, 99 %, 85, 158.68 W
2026/05/11 23:13:57.011, 14087 MiB, 16303 MiB, 99 %, 85, 158.88 W
2026/05/11 23:14:02.020, 14087 MiB, 16303 MiB, 99 %, 85, 158.98 W
2026/05/11 23:14:07.030, 14087 MiB, 16303 MiB, 99 %, 85, 159.15 W
2026/05/11 23:14:12.030, 14087 MiB, 16303 MiB, 96 %, 86, 158.23 W
2026/05/11 23:14:17.031, 14087 MiB, 16303 MiB, 99 %, 85, 158.87 W
