2026/05/11 22:10:13.303, 14087 MiB, 16303 MiB, 99 %, 85, 159.34 W
2026/05/11 22:10:18.303, 14087 MiB, 16303 MiB, 99 %, 85, 159.28 W
2026/05/11 22:10:23.304, 14087 MiB, 16303 MiB, 98 %, 85, 158.38 W
2026/05/11 22:10:28.304, 14087 MiB, 16303 MiB, 99 %, 85, 159.23 W
2026/05/11 22:10:33.305, 14087 MiB, 16303 MiB, 99 %, 85, 159.49 W
2026/05/11 22:10:38.305, 14087 MiB, 16303 MiB, 99 %, 86, 158.47 W
2026/05/11 22:10:43.306, 14087 MiB, 16303 MiB, 99 %, 86, 159.00 W
2026/05/11 22:10:48.306, 14087 MiB, 16303 MiB, 99 %, 86, 159.74 W
2026/05/11 22:10:53.307, 14087 MiB, 16303 MiB, 99 %, 86, 158.76 W
2026/05/11 22:10:58.307, 14087 MiB, 16303 MiB, 99 %, 86, 159.04 W
2026/05/11 22:11:03.308, 14087 MiB, 16303 MiB, 99 %, 86, 158.96 W
2026/05/11 22:11:08.317, 14087 MiB, 16303 MiB, 99 %, 86, 158.81 W
2026/05/11 22:11:13.323, 14087 MiB, 16303 MiB, 93 %, 83, 81.14 W
2026/05/11 22:11:18.323, 14087 MiB, 16303 MiB, 93 %, 81, 79.69 W
2026/05/11 22:11:23.324, 14087 MiB, 16303 MiB, 97 %, 84, 156.33 W
2026/05/11 22:11:28.324, 14087 MiB, 16303 MiB, 99 %, 84, 159.00 W
2026/05/11 22:11:33.325, 14087 MiB, 16303 MiB, 99 %, 84, 158.44 W
2026/05/11 22:11:38.326, 14087 MiB, 16303 MiB, 99 %, 85, 158.56 W
2026/05/11 22:11:43.326, 14087 MiB, 16303 MiB, 99 %, 85, 159.14 W
2026/05/11 22:11:48.327, 14087 MiB, 16303 MiB, 99 %, 85, 158.54 W
2026/05/11 22:11:53.327, 14087 MiB, 16303 MiB, 99 %, 85, 158.79 W
2026/05/11 22:11:58.328, 14087 MiB, 16303 MiB, 99 %, 85, 159.32 W
2026/05/11 22:12:03.329, 14087 MiB, 16303 MiB, 99 %, 85, 157.84 W
2026/05/11 22:12:08.329, 14087 MiB, 16303 MiB, 99 %, 85, 159.15 W
2026/05/11 22:12:13.330, 14087 MiB, 16303 MiB, 99 %, 85, 158.67 W
2026/05/11 22:12:18.330, 14087 MiB, 16303 MiB, 99 %, 85, 158.80 W
2026/05/11 22:12:23.331, 14087 MiB, 16303 MiB, 99 %, 85, 158.98 W
2026/05/11 22:12:28.331, 14087 MiB, 16303 MiB, 99 %, 85, 159.18 W
2026/05/11 22:12:33.332, 14087 MiB, 16303 MiB, 97 %, 86, 158.26 W
2026/05/11 22:12:38.332, 14087 MiB, 16303 MiB, 99 %, 86, 159.19 W
2026/05/11 22:12:43.342, 14087 MiB, 16303 MiB, 99 %, 86, 159.21 W
2026/05/11 22:12:48.342, 14087 MiB, 16303 MiB, 99 %, 86, 162.42 W
2026/05/11 22:12:53.343, 14087 MiB, 16303 MiB, 99 %, 86, 159.16 W
2026/05/11 22:12:58.344, 14087 MiB, 16303 MiB, 93 %, 83, 80.92 W
2026/05/11 22:13:03.344, 14087 MiB, 16303 MiB, 93 %, 81, 79.64 W
2026/05/11 22:13:08.345, 14087 MiB, 16303 MiB, 99 %, 84, 158.27 W
2026/05/11 22:13:13.345, 14087 MiB, 16303 MiB, 99 %, 84, 158.98 W
2026/05/11 22:13:18.346, 14087 MiB, 16303 MiB, 98 %, 85, 158.26 W
2026/05/11 22:13:23.346, 14087 MiB, 16303 MiB, 99 %, 85, 159.58 W
2026/05/11 22:13:28.347, 14087 MiB, 16303 MiB, 99 %, 85, 158.62 W
2026/05/11 22:13:33.347, 14087 MiB, 16303 MiB, 99 %, 85, 158.59 W
2026/05/11 22:13:38.348, 14087 MiB, 16303 MiB, 99 %, 85, 159.02 W
2026/05/11 22:13:43.349, 14087 MiB, 16303 MiB, 99 %, 85, 159.18 W
2026/05/11 22:13:48.349, 14087 MiB, 16303 MiB, 99 %, 85, 158.57 W
2026/05/11 22:13:53.349, 14087 MiB, 16303 MiB, 99 %, 86, 159.72 W
2026/05/11 22:13:58.350, 14087 MiB, 16303 MiB, 99 %, 85, 160.40 W
2026/05/11 22:14:03.351, 14087 MiB, 16303 MiB, 99 %, 85, 158.65 W
2026/05/11 22:14:08.351, 14087 MiB, 16303 MiB, 99 %, 85, 158.65 W
2026/05/11 22:14:13.352, 14087 MiB, 16303 MiB, 99 %, 85, 155.03 W
2026/05/11 22:14:18.352, 14087 MiB, 16303 MiB, 99 %, 86, 159.19 W
2026/05/11 22:14:23.362, 14087 MiB, 16303 MiB, 99 %, 86, 158.53 W
2026/05/11 22:14:28.362, 14087 MiB, 16303 MiB, 97 %, 86, 158.26 W
2026/05/11 22:14:33.363, 14087 MiB, 16303 MiB, 99 %, 86, 159.05 W
2026/05/11 22:14:38.364, 14087 MiB, 16303 MiB, 99 %, 86, 159.24 W
2026/05/11 22:14:43.364, 14087 MiB, 16303 MiB, 93 %, 83, 80.18 W
2026/05/11 22:14:48.365, 14087 MiB, 16303 MiB, 99 %, 84, 171.52 W
2026/05/11 22:14:53.365, 14087 MiB, 16303 MiB, 99 %, 84, 159.01 W
2026/05/11 22:14:58.366, 14087 MiB, 16303 MiB, 99 %, 84, 158.89 W
2026/05/11 22:15:03.375, 14087 MiB, 16303 MiB, 99 %, 84, 159.13 W
2026/05/11 22:15:08.376, 14087 MiB, 16303 MiB, 99 %, 85, 158.45 W
2026/05/11 22:15:13.376, 14087 MiB, 16303 MiB, 97 %, 85, 158.08 W
2026/05/11 22:15:18.377, 14087 MiB, 16303 MiB, 99 %, 85, 158.82 W
2026/05/11 22:15:23.377, 14087 MiB, 16303 MiB, 99 %, 85, 159.33 W
2026/05/11 22:15:28.387, 14087 MiB, 16303 MiB, 99 %, 85, 158.48 W
2026/05/11 22:15:33.396, 14087 MiB, 16303 MiB, 99 %, 85, 159.16 W
2026/05/11 22:15:38.397, 14087 MiB, 16303 MiB, 99 %, 85, 159.05 W
2026/05/11 22:15:43.406, 14087 MiB, 16303 MiB, 99 %, 86, 158.74 W
2026/05/11 22:15:48.406, 14087 MiB, 16303 MiB, 99 %, 85, 158.78 W
2026/05/11 22:15:53.407, 14087 MiB, 16303 MiB, 99 %, 85, 158.96 W
2026/05/11 22:15:58.408, 14087 MiB, 16303 MiB, 99 %, 86, 158.59 W
2026/05/11 22:16:03.408, 14087 MiB, 16303 MiB, 99 %, 86, 158.68 W
